Location,lat,lon,CowTagID,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like
Varari,-17.53975298,-149.900506,V1,High,Day,36.45,28.02,2309.516077,8.05660463885474,0.2,1.69,0.5,0.35,1.185099417,0.907290817,0.009013159,0.019077179,0.016755293
Varari,-17.53975298,-149.900506,V1,High,Night,36.41,27.1,2332.964767,8.029733014285924,0.21,0.91,0.53,0.32,1.52837812,0.935062012,0.011134542,0.028069819,0.01878488
Varari,-17.53975298,-149.900506,V1,Low,Night,36.22,28.44,2339.396163,8.065993322640152,0.23,5.11,0.84,0.42,2.754412529,2.128530089,0.013059974,0.039321432,0.070947096
Varari,-17.53975298,-149.900506,V1,Low,Day,36.52,27.26,2377.029989,8.014044470618156,0.22,2.29,0.68,0.52,1.589781489,0.637080298,0.014525517,0.09829493,0.208416064
Varari,-17.53989003,-149.900519,V2,High,Day,36.4,27.92,2353.477084,8.04889954812155,0.2,1.29,0.57,0.26,1.297024168,1.116117878,0.009228795,0.019125993,0.02426196
Varari,-17.53989003,-149.900519,V2,High,Night,36.4,27.15,2328.302637,8.021270681984175,0.21,0.92,0.61,0.71,1.228273596,1.289987532,0.008753099,0.015103301,0.016072899
Varari,-17.53989003,-149.900519,V2,Low,Night,36.09,28.47,2346.594909,8.05555174101946,0.26,5.76,1.05,0.31,1.615649189,1.337764548,0.022531222,0.054071251,0.111169588
Varari,-17.53989003,-149.900519,V2,Low,Day,36.34,27.36,2365.03174,8.014612800858368,0.2,2.06,0.62,2.4,2.175318354,0.815434825,0.012978503,0.080698238,0.186930911
Varari,-17.54012598,-149.90056,V3,High,Day,36.41,27.76,2351.907643,8.047115606226054,0.2,1.56,0.48,0.34,1.389091122,1.162769077,0.009509592,0.024943247,0.048753233
Varari,-17.54012598,-149.90056,V3,High,Night,NA,NA,NA,NA,0.22,1.2,0.37,0.28,1.625867931,0.981796367,0.007175831,0.0214734,0.05343416
Varari,-17.54012598,-149.90056,V3,Low,Night,36.35,28.31,2345.266347,8.069751700432176,0.24,3.38,0.82,0.39,2.637901428,1.221763919,0.013014693,0.053474632,0.094369739
Varari,-17.54012598,-149.90056,V3,Low,Day,36.52,27.27,2380.835159,8.029250889241016,0.19,1.26,0.56,0.46,2.090177389,0.867233513,0.010589214,0.069997599,0.162614428
Varari,-17.54024902,-149.900454,V4,High,Day,36.46,27.82,2320.14392,8.04529859172526,0.21,0.84,0.4,0.32,1.224375862,0.957502472,0.006625581,0.011803696,0.017178169
Varari,-17.54024902,-149.900454,V4,High,Night,36.49,27.1,2331.89014,8.034426484034048,0.22,0.85,0.42,0.3,1.409983858,0.919738621,0.007394978,0.01772721,0.016268222
Varari,-17.54024902,-149.900454,V4,Low,Night,36.4,28.4,2325.926623,8.070973742992923,0.24,3.01,0.65,0.5,1.617243898,1.349167743,0.01489088,0.046861748,0.084944537
Varari,-17.54024902,-149.900454,V4,Low,Day,36.53,27.39,2362.8142,8.044605893390623,0.24,1.55,1.06,1.07,2.008484641,0.754337072,0.010062779,0.070038984,0.162528997
Varari,-17.54025003,-149.900336,V5,High,Day,36.5,27.69,2351.4013,8.054822604220275,0.2,0.86,0.47,0.24,1.258483424,0.621678871,0.006802997,0.032830997,0.028985754
Varari,-17.54025003,-149.900336,V5,High,Night,36.46,26.97,2321.38849,8.037827757584502,0.19,0.89,0.48,0.04,1.494864704,0.44089073,0.008009803,0.03786053,0.028092611
