CowTagID,Weight_mg,N_ug,del15N,C_ug
V1,2.6889,29.8,5,825.3
V2,2.4788,25.7,4.8,778.4
V3,2.5262,28.2,4.3,837.8
V4,2.3608,26.4,4,771.2
V5,2.5657,26,4.1,873.7
V6,2.472,28.7,5,815.4
V7,2.6001,29.1,4.7,843.5
V8,2.4738,26.8,5.1,776.4
V9,2.614,26.6,3.9,850.1
V10,2.4756,28.6,4,818.7
V11,2.6802,29.8,4.3,926.4
V12,2.5991,26.2,4.4,813.2
V13,2.5548,25,3.9,865.9
V14,2.6608,32.3,4.7,824.3
V15,2.3748,26.6,4.7,757.9
V16,2.5034,23.3,3.6,833.5
V17,2.6147,28.1,4.4,838.9
V18,2.4991,26.3,4.6,799.2
V19,2.4002,24.7,3.9,764.4
V20,2.3928,26.3,4,794.6
