CowTagID,Weight_mg,N_ug,del15N,C_ug
SAND SGD 1T,2.6953,34.1,7.5,787.6
REEF SGD 1T,2.5969,25.9,4.3,795.9
REEF AMB 1T,2.4759,23.2,4.1,729.5
SAND AMB 1T,2.4143,20.6,4.4,672.1
REEF SGD 2T,2.6218,30.3,4.4,769.9
REEF AMB 2T,2.7198,26.4,4.2,837.1
SAND SGD 2T,2.4806,25.4,4.9,736
SAND AMB 2T,2.5636,25.1,4.5,761.7
REEF SGD 3T,2.3848,28.6,5.3,717.6
REEF AMB 3T,2.4784,21.5,4.2,739.9
SAND SGD 3T,2.6327,32.6,7.2,734.1
SAND AMB 3T,2.682,21.7,4.1,742.1
SAN SGD 1 AO,2.6143,18.3,5.9,354.1
SAN SGD 1 SO,2.6329,22.6,6.8,362.9
RW SGD 2 SO,2.5785,27.9,7.7,441
RW SGD 2 AO,2.5568,13.1,4.7,301
REEF SGD 2 SO,2.4257,21.7,6.6,370.9
REEF SGD 2 AO,2.5369,15.3,4.4,355.3
SAN SGD 2 AO,2.6211,14.9,4.7,340.9
SAN SGD 2 SO,2.6325,19.5,6.9,325.9
SAN SGD 3 SO,2.4038,22.6,7.3,342.4
SAN SGD 3 AO,2.6202,16,4,362.8
