Location,CowTagID,del15N,C_N,N_percent
Varari,V1,5,27.69463087,1.108259883
Varari,V2,4.8,30.28793774,1.036791996
Varari,V3,4.3,29.70921986,1.116301164
Varari,V4,4,29.21212121,1.118264995
Varari,V5,4.1,33.60384615,1.013368671
Varari,V6,5,28.41114983,1.161003236
Varari,V7,4.7,28.9862543,1.119187724
Varari,V8,5.1,28.97014925,1.083353545
Varari,V9,3.9,31.95864662,1.017597552
Varari,V10,4,28.62587413,1.155275489
Varari,V11,4.3,31.08724832,1.111857324
Varari,V12,4.4,31.03816794,1.008041245
Varari,V13,3.9,34.636,0.97855018
Varari,V14,4.7,25.52012384,1.213920625
Varari,V15,4.7,28.4924812,1.120094324
Varari,V16,3.6,35.77253219,0.930734201
Varari,V17,4.4,29.85409253,1.074693081
Varari,V18,4.6,30.3878327,1.052378856
Varari,V19,3.9,30.94736842,1.02908091
Varari,V20,4,30.21292776,1.099130726
Varari,Sand_SGD_1,7.5,23.09677419,1.265165288
Varari,Reef_SGD_1,4.3,30.72972973,0.997342986
Varari,Reef_Ambient_1,4.1,31.44396552,0.937032998
Varari,Sand_Ambient_1,4.4,32.62621359,0.853249389
Varari,Reef_SGD_2,4.4,25.40924092,1.155694561
Varari,Reef_Ambient_2,4.2,31.70833333,0.970659607
Varari,Sand_SGD_2,4.9,28.97637795,1.02394582
Varari,Sand_Ambient_2,4.5,30.34661355,0.979091902
Varari,Reef_SGD_3,5.3,25.09090909,1.199261993
Varari,Reef_Ambient_3,4.2,34.41395349,0.867495158
Varari,VSEEP,7.2,22.51840491,1.238272496
Varari,Sand_Ambient_3,4.1,34.19815668,0.809097688
