Date,Time,TempInSitu,AbsPressure,Depth,LoggerID
2022-06-03,07:50:00,26,105.281,0.399,WL_876_VSled_20220603
2022-06-03,07:52:00,26,105.074,0.378,WL_876_VSled_20220603
2022-06-03,07:54:00,26,105.109,0.382,WL_876_VSled_20220603
2022-06-03,07:56:00,26,105.556,0.427,WL_876_VSled_20220603
2022-06-03,07:58:00,26,105.298,0.401,WL_876_VSled_20220603
2022-06-03,08:00:00,26,105.178,0.389,WL_876_VSled_20220603
2022-06-03,08:02:00,26,105.092,0.38,WL_876_VSled_20220603
2022-06-03,08:04:00,26,104.799,0.35,WL_876_VSled_20220603
2022-06-03,08:06:00,26,105.005,0.371,WL_876_VSled_20220603
2022-06-03,08:08:00,26,104.868,0.357,WL_876_VSled_20220603
2022-06-03,08:10:00,26.097,104.888,0.359,WL_876_VSled_20220603
2022-06-03,08:12:00,26.097,105.111,0.382,WL_876_VSled_20220603
2022-06-03,08:14:00,26.097,105.37,0.409,WL_876_VSled_20220603
2022-06-03,08:16:00,26.097,104.905,0.361,WL_876_VSled_20220603
2022-06-03,08:18:00,26.097,105.438,0.416,WL_876_VSled_20220603
2022-06-03,08:20:00,26.097,104.991,0.37,WL_876_VSled_20220603
2022-06-03,08:22:00,26.097,104.922,0.363,WL_876_VSled_20220603
2022-06-03,08:24:00,26.097,105.249,0.396,WL_876_VSled_20220603
2022-06-03,08:26:00,26.097,105.249,0.396,WL_876_VSled_20220603
2022-06-03,08:28:00,26.097,105.507,0.423,WL_876_VSled_20220603
2022-06-03,08:30:00,26.097,105.301,0.402,WL_876_VSled_20220603
2022-06-03,08:32:00,26.097,105.077,0.379,WL_876_VSled_20220603
2022-06-03,08:34:00,26.097,105.421,0.414,WL_876_VSled_20220603
2022-06-03,08:36:00,26.097,105.283,0.4,WL_876_VSled_20220603
2022-06-03,08:38:00,26.097,105.507,0.423,WL_876_VSled_20220603
2022-06-03,08:40:00,26.097,105.163,0.387,WL_876_VSled_20220603
2022-06-03,08:42:00,26.097,105.266,0.398,WL_876_VSled_20220603
2022-06-03,08:44:00,26.097,105.06,0.377,WL_876_VSled_20220603
2022-06-03,08:46:00,26.097,105.645,0.437,WL_876_VSled_20220603
2022-06-03,08:48:00,26.097,105.197,0.391,WL_876_VSled_20220603
2022-06-03,08:50:00,26.097,105.266,0.398,WL_876_VSled_20220603
2022-06-03,08:52:00,26.097,105.387,0.41,WL_876_VSled_20220603
2022-06-03,08:54:00,26.097,105.456,0.417,WL_876_VSled_20220603
2022-06-03,08:56:00,26.097,105.163,0.387,WL_876_VSled_20220603
2022-06-03,08:58:00,26.097,105.301,0.402,WL_876_VSled_20220603
2022-06-03,09:00:00,26.195,105.252,0.397,WL_876_VSled_20220603
2022-06-03,09:02:00,26.195,104.856,0.356,WL_876_VSled_20220603
2022-06-03,09:04:00,26.195,105.544,0.427,WL_876_VSled_20220603
2022-06-03,09:06:00,26.195,105.097,0.381,WL_876_VSled_20220603
2022-06-03,09:08:00,26.195,105.355,0.407,WL_876_VSled_20220603
2022-06-03,09:10:00,26.195,105.458,0.418,WL_876_VSled_20220603
2022-06-03,09:12:00,26.195,105.441,0.416,WL_876_VSled_20220603
2022-06-03,09:14:00,26.195,105.458,0.418,WL_876_VSled_20220603
2022-06-03,09:16:00,26.195,105.372,0.409,WL_876_VSled_20220603
2022-06-03,09:18:00,26.195,105.613,0.434,WL_876_VSled_20220603
2022-06-03,09:20:00,26.195,105.321,0.404,WL_876_VSled_20220603
2022-06-03,09:22:00,26.195,105.355,0.407,WL_876_VSled_20220603
2022-06-03,09:24:00,26.292,105.461,0.419,WL_876_VSled_20220603
2022-06-03,09:26:00,26.292,105.702,0.443,WL_876_VSled_20220603
2022-06-03,09:28:00,26.292,105.203,0.392,WL_876_VSled_20220603
2022-06-03,09:30:00,26.292,105.667,0.44,WL_876_VSled_20220603
2022-06-03,09:32:00,26.292,105.289,0.401,WL_876_VSled_20220603
2022-06-03,09:34:00,26.292,105.547,0.427,WL_876_VSled_20220603
2022-06-03,09:36:00,26.292,105.667,0.44,WL_876_VSled_20220603
2022-06-03,09:38:00,26.292,105.34,0.406,WL_876_VSled_20220603
2022-06-03,09:40:00,26.292,105.495,0.422,WL_876_VSled_20220603
