Functional_Entity,PC1,PC2,PC3,PC4
"Polypoid,Zooxanthellate,Non-Calcified,Photo-autotroph,Passive Filter-feeding",0.4235098269934836,-0.21198348962019015,0.2003151309454568,0.011587242000828807
"Encrusting,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy",-0.3575322828834267,0.08472184560828475,-0.33192271777759225,-0.05130831715755726
"Branched Foliose,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.34614968371483223,-0.06739066801756015,0.15438166195242758,-0.18077145479010137
"Vesiculate,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.36050769182871406,-0.10494393194646855,0.11637457247846181,-0.008900077493992367
"Branched Erect,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.3669540261891478,-0.09025016991006957,0.10260508370366256,-0.019985282874031448
"Branched Matting,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy",-0.37914556952160383,0.1942759346525946,-0.08213383434301307,-0.047524243344847554
"Branched Globular,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy",-0.3651971157115404,0.2464358191670085,-0.06628209576208915,0.19497745961214089
"Branched Erect,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy",-0.37914556952160383,0.19427593465259466,-0.082133834343013,-0.04752424334484787
"Mushroom,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5666412394857537,0.11508829699436603,-0.006147335368729923,-0.022343245743231467
"Encrusting,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5413434995752466,-0.0032265552763179025,-0.2830429312689871,-0.042681199048083936
"Massive,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5666412394857538,0.11508829699436614,-0.006147335368729923,-0.02234324574323155
"Massive Digitate,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5666412394857538,0.11508829699436615,-0.006147335368729828,-0.02234324574323155
"Branched Foliose,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5407798331340702,0.13651763862419164,0.07420060705559167,-0.23167528937362766
"Branched Globular,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5266067504221401,0.18727378081872217,0.02325438407568134,0.28227988245868063
"Encrusting Digitate,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding",0.5748348495287017,0.07500277974343678,0.0298477115140407,-0.0034820879455760446
"Branched Matting,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.36695402618914774,-0.09025016991006948,0.10260508370366246,-0.019985282874031257
"Encrusting,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.3455195009005361,-0.18255679171164613,-0.13063233121299841,-0.02667039780403247
"Branched Foliose,Non-zooxanthellate,Non-Articulated Calcification,Autotroph,Autotrophy",-0.34523955406382795,0.19617770529634937,0.06346773420205512,-0.2271574689954003
"Branched Globular,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.35300557237908425,-0.03809028539565581,0.11845682228458658,0.2225164200829573
"Branched Globular,Non-zooxanthellate,Non-Articulated Calcification,Autotroph,Autotrophy",-0.35209544272807974,0.22547808791825386,0.02754289453421422,0.1761304058776585
"Encrusting,unk,Non-Calcified,unk,Active Filter-feeding",0.02673183132671187,-0.6132190635453315,-0.28819894102629645,0.03834579847271824
"Encrusting Digitate,Zooxanthellate,Non-Calcified,Photo-autotroph,Active Filter-feeding",0.3442234180226431,-0.3785693601847566,0.15336243291187834,0.05775795126483326
"Filamentous,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy",-0.3605076918287139,-0.10494393194646814,0.11637457247846206,-0.008900077493992456
