"","PC1","PC2","PC3","PC4"
"V4",-0.170354283176201,0.0351286359181842,-0.143825131662968,-0.0691404415457055
"V18",-0.303758348087122,-0.118703952143503,-0.0288929528025667,0.033027192140455
"V3",-0.20443571906668,-0.0122623815902339,-0.0381340193908608,0.12056843088227
"V14",0.322903136024228,0.124328345024452,0.162302146314479,-0.0963001764263255
"V16",0.284274107475648,0.106740596795869,0.228889345171096,0.173206990496711
"V17",0.385490562607576,0.16743771882313,-0.0825889825204701,0.0630432807878974
"V20",0.351220369399715,0.162171282944997,-0.195910210372897,0.181694608220864
"V9",-0.0343622263223151,0.110802065275479,-0.299088143022622,0.152433980824975
"V8",-0.0984675281931266,-0.0301829034908543,0.224183738348594,-0.106448555334628
"V19",-0.0451887634819993,0.00591966783167579,0.131483590923343,0.119069354752347
"V15",-0.217789862080716,-0.0528434973963736,0.0628094340649337,0.0131721374914352
"V11",-0.225440852488338,0.0262478393772074,-0.0184392975069978,-0.049304249795256
"V12",-0.180600067169166,0.0264843551327919,-0.10447643804018,-0.0761460910096929
"V5",-0.0647952771813927,0.047573180820486,0.0234519132640612,0.000897755510349441
"V10",-0.202566469678751,-0.211907905849348,0.204066178281433,0.291726958057926
"V2",-0.220879550765419,-0.0800339261581347,0.0204171958064931,-0.152720194772221
"V6",0.102156758858963,0.112941608951529,0.0428930456787513,-0.220368299810969
"V1",-0.163107111162397,0.0419720570296348,-0.193410018423294,-0.112406690887357
"V7",0.18028313151126,0.163263258075023,0.123734899094804,-0.180916474204933
"VSEEP",0.505417992976232,-0.625076045372012,-0.119466293205131,-0.0850895153781393
