"","PC1","PC2","PC3","PC4"
"Rhodophyta,Br,NC,Auto",-0.313408235946243,0.149679087684595,-0.0208907789951081,0.227991419462675
"Rhodophyta,Br,AC,Auto",-0.233556665656598,0.465670287830552,0.0178001684618363,0.179547163761874
"Chlorophyta,Fol,NC,Auto",-0.290825128237252,-0.14861160590853,-0.212103987180825,-0.256493874024399
"Chlorophyta,Stol,NC,Auto",-0.32017691076618,-0.177064929203511,-0.221185299389746,-0.0105939696620343
"Rhodophyta,Enc,Non-AC,Auto",-0.22871380233523,0.181262259234842,0.466964873693117,-0.0561685886726277
"Cyanobacteria,Enc,NC,Auto",-0.265217897511613,-0.253832397399794,0.208598030252322,0.0760905184888241
"Cnidaria,Enc,Herm,Mix",0.573258235373129,-0.112988549571806,0.280198969634734,0.0527304915878741
"Cnidaria,Mush,Herm,Mix",0.629072745203501,0.0173045312688791,-0.0479576642280973,-0.0100852496350753
"Chlorophyta,Cushion,NC,Auto",-0.32017691076618,-0.177064929203511,-0.221185299389746,-0.0105939696620342
"Phaeophyta,Br,NC,Auto",-0.306918106764973,0.063309071004823,-0.0752718581659216,0.0668118461609376
"Cnidaria,Poly,NC,Mix",0.357533302233704,-0.2977958932248,-0.147488576167815,0.11123407771996
"Rhodophyta,Br,Non-AC,Auto",-0.242043398960726,0.480031391769989,0.130166368137474,0.0220105321501829
"Cnidaria,Mas,Herm,Mix",0.629072745203501,0.0173045312688792,-0.0479576642280974,-0.0100852496350752
"Porifera,Enc,NC,Het",-0.07976623492189,-0.447046290783661,0.297428336449226,0.198869818147481
"Chlorophyta,Br,AC,Auto",-0.265626118657004,0.310827562528736,-0.257198190088836,0.0783063323588261
"Phaeophyta,Enc,NC,Auto",-0.283301598797491,-0.225007503457141,0.227293656893333,-0.0494471701350173
"Cnidaria,Dig,Herm,Mix",0.629072745203501,0.0173045312688791,-0.0479576642280973,-0.0100852496350752
"Phaeophyta,Fol,Non-AC,Auto",-0.204579827296134,0.192642216489782,0.14089821936399,-0.5138979241381
"Cnidaria,Fol,Herm,Mix",0.596808101317908,0.0250089356725795,-0.0674252465755774,-0.295850122972926
"Cnidaria,Br,Herm,Mix",0.540397799804227,0.27443828855098,-0.104112248182975,0.20307865844761
"Turf,Fil,NC,Auto",-0.280727926955778,-0.17830566661725,-0.0774288466754442,0.0172244795481542
"Chlorophyta,Sph,NC,Auto",-0.32017691076618,-0.177064929203511,-0.221185299389746,-0.0105939696620341
