Attribute,Units,Description
Location,NA,One of two coral reef survey sites (Cabral or Varari)
CowTagID,NA,Individual survey location identifier (1-20 and a Seep location)
AlphaTag,NA,"Individual survey location identifier, alphabetized by linear distance from seepage point (Seep location, A, and B-T)"
LiveCoral,%,Percent cover of live coral substrate
DeadCoral,%,Percent cover of dead coral substrate
Rubble,%,Percent cover of rubble substrate
Sand,%,Percent cover of sand substrate
lat,NA,Latitude of survey locations recorded on a Garmin GPS
lon,NA,Longitude of survey locations recorded on a Garmin GPS
meanRugosity,unitless,"Average rugosity measured using a 2.03m link chain across 3 randomly chosen lines within the survey box of each survey location. Values range from 0-1, with 0 indicating higher substrate complexity and 1 indicating a flat surface"
complexity,unitless,Average rugosity subtracted from 1 as an indication of structural complexity of the reef surface
