CowTagID,Turf,Crustose Corallines,Turbinaria ornata,Galaxaura rugosa,Pocillopora acuta,Porites rus,Valonia fastigiata,Dictyota bartayresiana,Lithophyllum kotschyanum,Lendenfeldia chondrodes,Amphiroa fragilissima,Dictyosphaeria sp.,Leptastrea transversa,Montipora setosa,Montipora verrilli,Halimeda opuntia,Stylocoeniella armata,Danafungia scruposa,Discosoma nummiforme,Amansia rhodantha,Lobophora variegata,Galaxaura divaricata,Psammocora stellata,Halimeda macroloba,Halimeda incrassata,Heteractis magnifica,Gracilaria verrucosa,Padina boryana,Montipora grisea,Porites lobata,Sargassum pacificum,Porites lutea,Halimeda distorta,Halimeda minima,Porifera unknown,Caulerpa serrulata,Hypnea pannosa,Valonia ventricosa,Porites irregularis,Pavona cactus,Verongida sp.,Pocillopora verrucosa,Dictyota friabilis,Avrainvillea erecta,Cyphastrea microphthalma,Goniastrea stelligera,Pavona chiriquiensis,Cyanobacteria,Leptoseris mycetoseroides,Valonia macrophysa,Caulerpa racemosa
V4,10.98901099,14.28571429,25.27472527,1.098901099,7.692307692,8.791208791,2.197802198,1.098901099,2.197802198,2.197802198,1.098901099,1.098901099,1.098901099,1.098901099,0,5.494505495,0,0,0,0,0,0,2.197802198,2.197802198,9.89010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V18,59.77653631,2.234636872,6.703910615,1.675977654,3.910614525,14.52513966,0,0,0.558659218,1.675977654,0,0.558659218,0.558659218,0,0,0.558659218,0,0,0.558659218,1.675977654,0,1.117318436,0,0,0,0,0,0,0,0,0,0,1.117318436,0,2.793296089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3,17.6056338,9.85915493,26.05633803,1.408450704,9.154929577,11.26760563,4.929577465,1.408450704,3.521126761,0,0,0,0.704225352,1.408450704,1.408450704,2.112676056,0.704225352,0.704225352,0.704225352,4.225352113,2.112676056,0.704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V14,0,4,8,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,4,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V16,2.040816327,12.24489796,24.48979592,0,0,0,0,6.12244898,4.081632653,0,0,0,2.040816327,0,0,0,0,0,0,0,2.040816327,0,0,0,0,0,2.040816327,2.040816327,28.57142857,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V17,6.818181818,2.272727273,22.72727273,0,0,0,0,20.45454545,0,4.545454545,0,0,0,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,0,38.63636364,0,0,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V20,4.545454545,2.272727273,15.90909091,4.545454545,0,0,0,2.272727273,0,0,2.272727273,0,0,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,0,38.63636364,0,0,2.272727273,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V9,18.88111888,0.699300699,4.895104895,0.699300699,0,60.13986014,0.699300699,2.797202797,2.797202797,0,0,0,0,0,0,2.097902098,0,0,0,4.195804196,0,0,0,0,0,0,0,0,0,0,0.699300699,0,0,1.398601399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V8,41.97530864,6.790123457,3.086419753,0,7.407407407,11.11111111,0,0,1.234567901,2.469135802,0,0,0,0.617283951,0,0,0,0,0,3.086419753,0.617283951,0.617283951,0,0,0,16.66666667,0,0,0,0.617283951,0,0,1.234567901,0,0,1.851851852,0.617283951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V19,20.32520325,6.504065041,10.56910569,0.81300813,2.43902439,5.691056911,1.62601626,13.00813008,0.81300813,0,0,0,0.81300813,0,0,0,0,0,1.62601626,0,2.43902439,1.62601626,0,0.81300813,0,0,0.81300813,3.25203252,23.57723577,0,0,0,2.43902439,0,0,0,0,0.81300813,0,0,0,0,0,0,0,0,0,0,0,0,0
V15,33.5,9,11,1.5,10,13,0,1,1,1.5,0.5,1,0.5,2.5,0,0,0,0,4,0.5,1,1,0,0,1.5,1.5,0,0,0,0,0,0,0,0,2,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0
V11,28.91566265,5.421686747,10.24096386,0.602409639,13.25301205,3.614457831,0.602409639,5.421686747,3.614457831,1.204819277,0,0,1.807228916,0,0,4.819277108,0,0,10.24096386,0.602409639,2.409638554,0.602409639,0,0,0.602409639,5.421686747,0,0,0,0,0,0,0,0,0.602409639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V12,35.86206897,2.068965517,8.275862069,0.689655172,26.89655172,5.517241379,0.689655172,1.379310345,0.689655172,0.689655172,0,1.379310345,0,0,0,2.068965517,0,0,2.068965517,0,4.137931034,0,0,2.75862069,0,2.068965517,0,0,0,0,0,0,0,0,0.689655172,0,0,0,0,1.379310345,0.689655172,0,0,0,0,0,0,0,0,0,0
V5,42.30769231,0.641025641,7.051282051,0.641025641,2.564102564,4.487179487,1.282051282,5.128205128,1.923076923,0.641025641,0,0,0,6.41025641,0,1.923076923,0,0,1.282051282,0,0,1.923076923,0,0,0,0,1.282051282,1.282051282,0,19.23076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V10,56.37254902,2.450980392,0.490196078,0,19.60784314,7.843137255,0,0,0.490196078,0,0,0,0.490196078,0.980392157,0,0,0,0,0.980392157,0.490196078,0,0,0,0,0,0,0,0,1.470588235,0,0,0,0,0,2.450980392,0,0,0.490196078,0,0,2.450980392,2.941176471,0,0,0,0,0,0,0,0,0
V2,22.75132275,6.349206349,10.05291005,0,14.28571429,3.703703704,1.587301587,6.878306878,1.058201058,4.232804233,0.529100529,0.529100529,1.058201058,0,0,4.761904762,0,0,1.058201058,0.529100529,1.587301587,0.529100529,0,3.174603175,1.058201058,0,0,0,1.058201058,0,0,0,0.529100529,0,7.936507937,0.529100529,0,0,0,0,0.529100529,0,1.058201058,0.529100529,0,0.529100529,1.058201058,0,0.529100529,0,0
V6,11.80555556,0.694444444,28.47222222,0,0.694444444,27.77777778,0,2.083333333,0,0,0,0,0,0,0,4.861111111,0,0,0,0.694444444,5.555555556,3.472222222,0,2.083333333,4.166666667,0,0,2.777777778,0,2.083333333,0.694444444,0,0,0,0,0.694444444,0,0,0,0,0,0,0,0,0.694444444,0,0,0.694444444,0,0,0
V1,12.04819277,3.614457831,13.25301205,0.602409639,0,43.97590361,1.204819277,8.43373494,0.602409639,3.012048193,0,1.807228916,0.602409639,0,0,3.614457831,0,0,0,0,1.807228916,1.204819277,0,0.602409639,0,0,0,0,0,0,0,0,0,1.204819277,0.602409639,0.602409639,0,0,0,0,0,0,0.602409639,0,0,0,0,0,0,0.602409639,0
V7,19.8019802,0.99009901,33.66336634,0,1.98019802,7.920792079,0,14.85148515,0,3.96039604,0,0,0,0,0,3.96039604,0,0,0,0,0.99009901,0,0,0,3.96039604,0,1.98019802,3.96039604,0,0.99009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99009901
VSEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
