Taxa,FE,Phyla,Morphology,Calcification,Energetic_Resource,Lit_Identification,Lit_Phyla,Lit_Morphology,Lit_Calcification,Lit_Energetic_Resource,Identification_notes
Amansia rhodantha,"Rhodophyta,  Br,  NC,  Auto",Rhodophyta,Br,NC,Auto,,,Payri et al. 2000,Ho and Carpenter 2017,,"(Harvey) J.Agardh, 1841"
Amphiroa fragilissima,"Rhodophyta, Br, AC, Auto",Rhodophyta,Br,AC,Auto,,,Payri et al. 2000,Yang et al. 2021,,"(Linnaeus) J.V.Lamouroux, 1816"
Avrainvillea erecta,"Chlorophyta, Fol, NC, Auto",Chlorophyta,Fol,NC,Auto,,,Payri et al. 2000,Coppejans and Prud'homme van Reine 1989,,"(Berkeley) A.Gepp and E.S. Gepp, 1911"
Caulerpa racemosa,"Chlorophyta, Stol, NC, Auto",Chlorophyta,Stol,NC,Auto,,,Payri et al. 2000,Paul and Hay 1986,,"(Forsskal) J.Agardh, 1873"
Caulerpa serrulata,"Chlorophyta, Stol, NC, Auto",Chlorophyta,Stol,NC,Auto,,,Payri et al. 2000,Paul and Hay 1986,,"(Forsskal) J.Agardh, 1873"
Crustose Corallines,"Rhodophyta, Enc, Non-AC, Auto",Rhodophyta,Enc,Non-AC,Auto,,,,Steneck 1986,,
Cyanobacteria,"Cyanobacteria, Enc, NC, Auto",Cyanobacteria,Enc,NC,Auto,,,,Ford et al. 2024,,
Cyphastrea microphthalma,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,Baird et al. 2017,,Dinesen 1983,,,"Lamarck, 1816"
Danafungia scruposa,"Cnidaria, Mush, Herm, Mix",Cnidaria,Mush,Herm,Mix,,,Corona et al. 2020,,,Dana 1846
Dictyosphaeria sp.,"Chlorophyta, Cushion, NC, Auto",Chlorophyta,Cushion,NC,Auto,Payri et al. 2000,,Marine Algae of Hawaii,Ford et al. 2024,,"(Forsskal) Borgesen, 1932; combined Dictyosphaeria cavernosa and versluysii; full morphology lit link: https://www.hawaii.edu/reefalgae/invasive_algae/chloro/dictyosphaeria_versluysii.htm"
Dictyota bartayresiana,"Phaeophyta, Br, NC, Auto",Phaeophyta,Br,NC,Auto,,,Payri et al. 2000,Ho and Carpenter 2017,,"J.V.Lamouroux, 1809"
