Location,CowTagID,Date,LiveCoral,DeadCoral,Rubble,Sand
Cabral,C1,6/27/2022,57,151,1,5
Cabral,C10,6/15/2022,2,14,1,203
Cabral,C11,6/15/2022,19,161,24,11
Cabral,C12,6/28/2022,30,166,25,1
Cabral,C13,7/19/2022,38,159,15,7
Cabral,C15,6/23/2022,102,96,20,1
Cabral,C16,6/28/2022,35,77,134,103
Cabral,C17,6/23/2022,61,55,9,80
Cabral,C18,6/27/2022,96,115,11,0
Cabral,C19,6/27/2022,66,81,67,5
Cabral,C2,6/27/2022,16,171,10,25
Cabral,C20,6/15/2022,19,27,2,171
Cabral,C3,6/28/2022,42,133,43,2
Cabral,C4,6/28/2022,32,103,0,86
Cabral,C5,6/15/2022,32,61,33,88
Cabral,C6,7/19/2022,64,119,0,42
Cabral,C7,6/15/2022,39,94,0,63
Cabral,C8,6/15/2022,22,87,5,94
Cabral,C9,6/14/2022,58,131,21,7
Cabral,CSEEP,7/19/2022,0,0,0,200
Varari,Reef_Ambient_1,6/14/2022,52,120,11,31
Varari,Reef_Ambient_2,6/14/2022,94,108,6,5
Varari,RockWall_SGD_1,6/21/2022,1,194,0,27
Varari,RockWall_SGD_2,6/21/2022,1,189,0,32
Varari,RockWall_SGD_3,6/21/2022,4,159,2,52
Varari,Sand_SGD_1,6/21/2022,0,2,13,198
Varari,Sand_SGD_2,6/21/2022,0,8,25,183
Varari,V1,6/14/2022,84,88,0,39
Varari,V10,6/13/2022,30,138,5,6
Varari,V11,6/5/2022,32,127,27,24
Varari,V12,6/13/2022,50,86,33,47
Varari,V13,6/5/2022,5,109,6,97
Varari,V14,6/3/2022,0,10,0,201
Varari,V15,6/5/2022,56,143,14,5
Varari,V16,6/3/2022,23,40,21,133
Varari,V17,6/3/2022,0,39,0,181
Varari,V18,6/4/2022,20,149,14,16
Varari,V19,6/4/2022,39,72,18,86
Varari,V2,6/14/2022,42,125,6,25
Varari,V20,6/3/2022,11,33,0,155
Varari,V3,6/3/2022,32,165,4,33
Varari,V4,6/3/2022,17,90,37,31
Varari,V5,6/13/2022,68,103,8,58
Varari,V6,6/14/2022,46,98,15,58
Varari,V7,6/13/2022,11,97,5,111
Varari,V8,6/4/2022,28,139,4,33
Varari,V9,6/4/2022,93,14,8,70
Varari,VSEEP,6/14/2022,0,5,0,195
