Location,CowTagID,AlphaTag,Date,TimeStart,TimeEnd,PhotoIDStart,Chain1,Chain2,Chain3,lat,lon,OtherNotes,Conditions
Varari,V1,T,6/14/2022,9:18,10:10,5908,1.42,1.32,1.31,-17.53975298,-149.900506,,on-off high winds
Varari,V10,F,6/13/2022,8:35,9:44,5772,1.28,1.4,0.55,-17.54030501,-149.899788,,
Varari,V11,K,6/5/2022,12:54,13:46,5475,1.16,0.97,1.1,-17.54019303,-149.900068,,calm conditions
Varari,V12,L,6/13/2022,9:51,10:58,,1.56,0.95,1.35,-17.54030996,-149.900112,,
Varari,V14,B,6/3/2022,13:00,13:48,5290,2.03,1.14,1.8,-17.54039696,-149.899396,,"moderate winds, high waves offshore, fluctuated choppy surface, moderate current"
Varari,V15,N,6/5/2022,11:44,12:45,5453,0.89,1.04,1.4,-17.54014299,-149.900183,,calm conditions
Varari,V16,Q,6/3/2022,15:05,15:57,5324,1.79,1.43,2.03,-17.54029797,-149.900492,,"moderate winds, high waves offshore, fluctuated choppy surface, moderate current"
Varari,V17,D,6/3/2022,14:20,14:50,,2,1.47,1.75,-17.54031901,-149.899572,,"moderate winds, high waves offshore, fluctuated choppy surface, moderate current"
Varari,V18,H,6/4/2022,9:35,10:26,5366,1.27,1.19,1.27,-17.54019697,-149.899906,,"calm glassy, beautiful day, sunshine mixed with dark clouds"
Varari,V19,G,6/4/2022,10:35,11:25,5383,1.58,1.6,1.48,-17.54050802,-149.89978,,"calm glassy, beautiful day, sunshine mixed with dark clouds"
Varari,V2,S,6/14/2022,10:18,11:27,5915,1.39,1.31,1.19,-17.53989003,-149.900519,,on-off high winds
Varari,V20,C,6/3/2022,13:50,14:20,,1.79,1.26,1.89,-17.54045103,-149.899509,,"moderate winds, high waves offshore, fluctuated choppy surface, moderate current"
Varari,V3,R,6/3/2022,7:40,10:16,5181,1.3,0.98,1.46,-17.54012598,-149.90056,,"moderate winds, high waves offshore, fluctuated choppy surface, moderate current"
Varari,V4,P,6/3/2022,10:26,11:36,5232,1.52,1.28,1.29,-17.54024902,-149.900454,,"moderate winds, high waves offshore, fluctuated choppy surface, moderate current"
Varari,V5,O,6/13/2022,11:13,12:17,,1.3,0.95,1.15,-17.54025003,-149.900336,,
Varari,V6,M,6/14/2022,8:10,9:09,5883,1.59,1.53,1.58,-17.54002498,-149.900106,,on-off high winds
Varari,V7,J,6/13/2022,13:45,NA,5860,1.37,1.45,1.61,-17.54004803,-149.899985,,
Varari,V8,I,6/4/2022,8:48,9:26,5348,1.36,1.24,0.98,-17.54014903,-149.899896,,"calm glassy, beautiful day, sunshine mixed with dark clouds"
Varari,V9,E,6/4/2022,7:57,8:40,5338,1.24,1.39,1.79,-17.540245,-149.899765,,"calm glassy, beautiful day, sunshine mixed with dark clouds"
Varari,VSEEP,A,6/14/2022,12:05,12:15,NA,,,,-17.540302,-149.899331,,on-off high winds
