Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
NbSpP,Salinity,Linear,146.6152781218605,0.02056522625094298,0.5580802607955235,9.650894249601606
NbSpP,Salinity,Polynomial,141.7810165548531,0.3602277503821478,0.010130357336526053,4.816632682594189
NbSpP,Temperature,Linear,146.03915576205588,0.04981812434392081,0.3583476242947329,9.074771889796978
NbSpP,Temperature,Polynomial,148.85504742148228,0.07163064348898543,0.5484077474819868,11.890663549223376
NbSpP,pH,Linear,146.84583618361205,0.008607739794162001,0.7056006748640102,9.881452311353144
NbSpP,pH,Polynomial,149.48468046823982,0.040350370580343686,0.47743903126206455,12.52029659598091
NbSpP,Phosphate,Linear,146.72097805864968,0.01510129496007537,0.6162337707666883,9.756594186390771
NbSpP,Phosphate,Polynomial,145.26899345782175,0.23130829543622666,0.04985877128319595,8.304609585562844
NbSpP,Silicate,Linear,143.58369233723624,0.16501104498702002,0.0843893270778055,6.619308464977337
NbSpP,Silicate,Polynomial,146.4776114942302,0.1808219492697924,0.5860956593713487,9.513227621971282
NbSpP,Nitrate+Nitrite,Linear,145.56825639017583,0.07307816941208825,0.2629930479783865,8.603872517916926
NbSpP,Nitrate+Nitrite,Polynomial,146.92141716218632,0.16146220613279488,0.2124764238840644,9.95703328992741
NbSpP,Complexity,Linear,138.46037510058207,0.3623623204600787,0.006391223500122506,1.4959912283231631
NbSpP,Complexity,Polynomial,136.9643838722589,0.5034891829997257,0.048801482076069276,0
NbFEsP,Salinity,Linear,161.70279391731992,0.004551275133156048,0.7837668202588175,13.137318609868629
NbFEsP,Salinity,Polynomial,150.40645421006536,0.5372343137758673,5.604490137027264e-4,1.8409789026140686
NbFEsP,Temperature,Linear,158.3329629181762,0.16633296086497115,0.08303612800332238,9.767487610724913
NbFEsP,Temperature,Polynomial,161.4323801084395,0.17322487779238735,0.7197414225108869,12.866904800988209
NbFEsP,pH,Linear,161.7890672110148,2.096383078895324e-5,0.9851579439056759,13.223591903563516
NbFEsP,pH,Polynomial,163.11561283922072,0.09663748016761207,0.2093077971388975,14.550137531769423
NbFEsP,Phosphate,Linear,160.80809578428577,0.05033979673241088,0.3557773437731576,12.242620476834475
NbFEsP,Phosphate,Polynomial,159.76154727986275,0.2428251773566779,0.060820802899709356,11.19607197241146
NbFEsP,Silicate,Linear,156.4781097063547,0.24387233139433884,0.03164083316042187,7.912634398903407
NbFEsP,Silicate,Polynomial,159.4210050449781,0.2562753348178699,0.612532006736106,10.855529737526808
NbFEsP,Nitrate+Nitrite,Linear,157.23993226045627,0.21293868147989461,0.04672946336783919,8.674456953004977
NbFEsP,Nitrate+Nitrite,Polynomial,159.07178778428155,0.2698200308554624,0.28072598339198374,10.50631247683026
NbFEsP,Complexity,Linear,148.5654753074513,0.5014241203872163,6.924972801580608e-4,0
NbFEsP,Complexity,Polynomial,149.29632485217218,0.5634979866413694,0.15093972743704953,0.7308495447208827
Vol8D,Salinity,Linear,172.36672570646334,0.010183475880554039,0.6810283833773318,9.464475229547986
Vol8D,Salinity,Polynomial,162.90225047691536,0.4932789017731437,0.001258734177687854,0
Vol8D,Temperature,Linear,171.5557350338655,0.05154354672648301,0.3499366953806916,8.653484556950133
Vol8D,Temperature,Polynomial,173.49490397882556,0.11510514577813537,0.29960591634581313,10.592653501910206
Vol8D,pH,Linear,172.4513810114304,0.0057634669657132456,0.7573998301065379,9.549130534515058
Vol8D,pH,Polynomial,175.1108832667629,0.036550213636124096,0.4848910126610988,12.208632789847542
Vol8D,Phosphate,Linear,171.73815648128473,0.04239343875306912,0.39773709423857584,8.835906004369377
Vol8D,Phosphate,Polynomial,168.0285779750759,0.3363416655189585,0.01704333233716287,5.126327498160549
Vol8D,Silicate,Linear,170.38744715641582,0.108106222904651,0.16929837634318573,7.485196679500461
Vol8D,Silicate,Polynomial,173.16081360879346,0.13052887415435913,0.5297393516119043,10.258563131878105
Vol8D,Nitrate+Nitrite,Linear,170.5543259388627,0.10023813368675974,0.18662303071146313,7.652075461947334
Vol8D,Nitrate+Nitrite,Polynomial,170.7734948565704,0.23319175001330764,0.11525123484046759,7.871244379655053
Vol8D,Complexity,Linear,167.73766891017266,0.22420754574391605,0.040580295870150794,4.835418433257303
Vol8D,Complexity,Polynomial,169.41530225893808,0.28609282337119446,0.2561394831212923,6.513051782022728
resSpp,Salinity,Linear,139.01899679520264,0.007403926103103466,0.7261482003356962,3.095728424887085
resSpp,Salinity,Polynomial,141.301304670516,0.057046751996091466,0.3723573658331424,5.378036300200449
resSpp,Temperature,Linear,139.10126217830648,0.0030969088580679533,0.8209845190836407,3.17799380799093
resSpp,Temperature,Polynomial,142.3252993924137,0.004832402658854107,0.8694305800607771,6.402031022098157
resSpp,pH,Linear,139.1331640413278,0.0014216572683503604,0.8782028983780714,3.209895671012248
resSpp,pH,Polynomial,138.4276695914703,0.18940159060403602,0.0720291497216848,2.504401221154751
resSpp,Phosphate,Linear,139.07616969494237,0.004412606938628079,0.7870130366567664,3.1529013246268107
resSpp,Phosphate,Polynomial,136.978091992019,0.24894476769641818,0.03648483963272675,1.0548236217034344
resSpp,Silicate,Linear,138.38345512315382,0.04005667516794513,0.41134302739780426,2.4601867528382684
resSpp,Silicate,Polynomial,141.4457831346056,0.049849081881584593,0.6900652185665359,5.522514764290037
resSpp,Nitrate+Nitrite,Linear,138.87782572427582,0.014751640111824069,0.6203779269070784,2.9545573539602685
resSpp,Nitrate+Nitrite,Polynomial,135.92326837031555,0.28950482156959473,0.024280186556714857,0
resSpp,Complexity,Linear,138.46037510058207,0.036162544323063685,0.4355142810605279,2.5371067302665153
resSpp,Complexity,Polynomial,136.9643838722589,0.2494864435882823,0.048801482076069276,1.0411155019433522
resFEp,Salinity,Linear,149.44206121003967,5.035215597312434e-4,0.927348590692038,3.47866366541939
