Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
NbSpP,Salinity,Linear,132.85696423667787,0.002072102398806801,0.862275598984719,3.745844796384148
NbSpP,Salinity,Polynomial,136.0371024195333,0.019934139877246487,0.6213267664906894,6.925982979239592
NbSpP,Temperature,Linear,129.3397662249874,0.18857900447025627,0.08155436691777072,0.22864678469366595
NbSpP,Temperature,Polynomial,132.42399120358672,0.20758612898806875,0.571466186794295,3.3128717632930034
NbSpP,pH,Linear,132.84914795568628,0.002530825455598334,0.8479431936447955,3.738028515392557
NbSpP,pH,Polynomial,136.32978336952138,0.00291472282207743,0.9425117657309252,7.2186639292276595
NbSpP,Phosphate,Linear,132.87473896511912,0.001028151002142727,0.9027668539462,3.763619524825401
NbSpP,Phosphate,Polynomial,135.09642183224133,0.0726921331117573,0.3158941455090122,5.985302391947613
NbSpP,Silicate,Linear,132.32120688431607,0.03303153047290448,0.485097524059383,3.2100874440223492
NbSpP,Silicate,Polynomial,134.61607822750082,0.09852697913370358,0.3303093211621194,5.5049587872071015
NbSpP,Nitrate+Nitrite,Linear,132.10207595749435,0.04541581821716384,0.41150740938221464,2.9909565172006296
NbSpP,Nitrate+Nitrite,Polynomial,132.48947852113025,0.20452770908460066,0.11643353725452138,3.378359080836532
NbSpP,Complexity,Linear,129.11111944029372,0.19941939934497832,0.07234358953964147,0
NbSpP,Complexity,Polynomial,132.5798224545291,0.20028903878130416,0.9035550580954441,3.4687030142353876
NbFEsP,Salinity,Linear,152.39015782554443,0.0060917295326243055,0.7658949486636937,7.566044623015102
NbFEsP,Salinity,Polynomial,155.85632654378367,0.0073193693875259055,0.8971875931953982,11.032213341254334
NbFEsP,Temperature,Linear,146.4545273443803,0.29901240903038306,0.023117773934966102,1.630414141850963
NbFEsP,Temperature,Polynomial,149.49894824854798,0.3170336691036204,0.5530558997975416,4.674835046018643
NbFEsP,pH,Linear,152.49320495481743,4.876278740635197e-5,0.9787797174882162,7.669091752288097
NbFEsP,pH,Polynomial,155.16311571593783,0.04698381753480216,0.4202745623476256,10.339002513408502
NbFEsP,Phosphate,Linear,152.42714728668324,0.003926779120840172,0.8111642277735327,7.603034084153904
NbFEsP,Phosphate,Polynomial,155.37056505827505,0.0352830072627307,0.5109365619600961,10.546451855745715
NbFEsP,Silicate,Linear,150.3542916673736,0.11826806050942128,0.17650422756624007,5.530178464844255
NbFEsP,Silicate,Polynomial,153.30722510325387,0.14554670102371658,0.5146578613213109,8.483111900724538
NbFEsP,Nitrate+Nitrite,Linear,149.027081043683,0.18448739951977292,0.08531692480325993,4.202967841153679
NbFEsP,Nitrate+Nitrite,Polynomial,150.4456043291799,0.27792340952868094,0.19970987821975683,5.621491126650568
NbFEsP,Complexity,Linear,144.82411320252933,0.3631185886894101,0.010463069463151321,0
NbFEsP,Complexity,Polynomial,148.30679782302957,0.36328696037255853,0.9523425261771664,3.482684620500237
resSpp,Salinity,Linear,128.81606003495958,0.02750639921780381,0.5246703634313659,2.394049611748727
resSpp,Salinity,Polynomial,131.5138273079457,0.07163267140077825,0.42830898558594,5.09181688473484
resSpp,Temperature,Linear,126.42201042321085,0.15525310702357836,0.11759620445396042,0
resSpp,Temperature,Polynomial,128.594363377469,0.21812544637494144,0.3066407441022594,2.1723529542581446
resSpp,pH,Linear,129.11864457742152,0.01004193263812743,0.7019656916685653,2.6966341542106704
resSpp,pH,Polynomial,129.85848723193587,0.15776882006433499,0.13942578771552758,3.4364768087250184
resSpp,Phosphate,Linear,129.27079675409345,0.0011419124323891869,0.8975539135700076,2.8487863308826036
resSpp,Phosphate,Polynomial,130.6814608600912,0.11599320392825416,0.19885758241976273,4.259450436880343
resSpp,Silicate,Linear,127.75122639983323,0.08655220793264665,0.2517095452303896,1.329215976622379
resSpp,Silicate,Polynomial,130.68205851791276,0.11596212493629932,0.5060856620800105,4.260048094701915
resSpp,Nitrate+Nitrite,Linear,129.1607097302866,0.00758932670979991,0.7395382950581082,2.7386993070757626
resSpp,Nitrate+Nitrite,Polynomial,126.72187822664179,0.29967247044631823,0.02991437232238841,0.2998678034309421
resFEp,Salinity,Linear,144.26530931944575,0.048666321257750673,0.3948534671392777,5.253601659175018
resFEp,Salinity,Polynomial,147.42987727436835,0.06654969774162385,0.6126169737661206,8.418169614097621
resFEp,Temperature,Linear,139.01170766027073,0.3015738261274333,0.02242050763026234,0
resFEp,Temperature,Polynomial,139.98601462306257,0.39754471316745404,0.1575289090860763,0.974306962791843
resFEp,pH,Linear,145.0594964924851,0.003168483730112643,0.830096458440097,6.047788832214366
resFEp,pH,Polynomial,146.62152064190167,0.10989686917359183,0.21605572957622948,7.609812981630938
resFEp,Phosphate,Linear,145.1036324104749,5.771169369867072e-4,0.9270808126162777,6.091924750204157
resFEp,Phosphate,Polynomial,147.19614227770427,0.07929598965551897,0.29239328850298507,8.184434617433539
resFEp,Silicate,Linear,143.50114752131924,0.09048255518456125,0.2407178345857987,4.48943986104851
resFEp,Silicate,Polynomial,146.9593240182589,0.09203292204013439,0.8793332100760667,7.947616357988181
resFEp,Nitrate+Nitrite,Linear,145.05570017563775,0.003391064069565292,0.8243144563155965,6.043992515367023
resFEp,Nitrate+Nitrite,Polynomial,143.1115870003703,0.27594261626307776,0.0376609870435475,4.099879340099562
