Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
NbSpP,Salinity,Linear,146.6152781218605,0.020565226250942963,0.5580802607955238,9.650894249601606
NbSpP,Salinity,Polynomial,141.7810165548531,0.3602277503821476,0.010130357336526053,4.816632682594189
NbSpP,Temperature,Linear,146.03915576205588,0.04981812434392085,0.35834762429473244,9.074771889796978
NbSpP,Temperature,Polynomial,148.85504742148228,0.07163064348898529,0.5484077474819876,11.890663549223376
NbSpP,pH,Linear,146.84583618361205,0.008607739794161998,0.7056006748640102,9.881452311353144
NbSpP,pH,Polynomial,149.48468046823982,0.04035037058034369,0.477439031262065,12.52029659598091
NbSpP,Phosphate,Linear,146.72097805864968,0.015101294960075385,0.6162337707666876,9.756594186390771
NbSpP,Phosphate,Polynomial,145.26899345782175,0.23130829543622658,0.04985877128319601,8.304609585562844
NbSpP,Silicate,Linear,143.58369233723624,0.16501104498702,0.08438932707780543,6.619308464977337
NbSpP,Silicate,Polynomial,146.4776114942302,0.1808219492697924,0.5860956593713487,9.513227621971282
NbSpP,Nitrate+Nitrite,Linear,145.56825639017583,0.07307816941208826,0.2629930479783866,8.603872517916926
NbSpP,Nitrate+Nitrite,Polynomial,146.92141716218632,0.1614622061327949,0.2124764238840644,9.95703328992741
NbSpP,Rugosity,Linear,138.46037510058207,0.3623623204600787,0.006391223500122506,1.4959912283231631
NbSpP,Rugosity,Polynomial,136.9643838722589,0.5034891829997257,0.048801482076069276,0
NbFEsP,Salinity,Linear,161.70279391731992,0.004551275133156043,0.7837668202588178,13.137318609868629
NbFEsP,Salinity,Polynomial,150.40645421006536,0.5372343137758674,5.604490137027284e-4,1.8409789026140686
NbFEsP,Temperature,Linear,158.3329629181762,0.16633296086497137,0.08303612800332227,9.767487610724913
NbFEsP,Temperature,Polynomial,161.4323801084395,0.17322487779238743,0.7197414225108876,12.866904800988209
NbFEsP,pH,Linear,161.7890672110148,2.0963830788951555e-5,0.9851579439056768,13.223591903563516
NbFEsP,pH,Polynomial,163.11561283922072,0.09663748016761184,0.20930779713889797,14.550137531769423
NbFEsP,Phosphate,Linear,160.80809578428577,0.05033979673241092,0.3557773437731576,12.242620476834475
NbFEsP,Phosphate,Polynomial,159.76154727986275,0.24282517735667783,0.060820802899709314,11.19607197241146
NbFEsP,Silicate,Linear,156.4781097063547,0.24387233139433878,0.03164083316042185,7.912634398903407
NbFEsP,Silicate,Polynomial,159.4210050449781,0.2562753348178699,0.612532006736106,10.855529737526808
NbFEsP,Nitrate+Nitrite,Linear,157.23993226045627,0.21293868147989473,0.04672946336783919,8.674456953004977
NbFEsP,Nitrate+Nitrite,Polynomial,159.07178778428155,0.2698200308554625,0.2807259833919834,10.50631247683026
NbFEsP,Rugosity,Linear,148.5654753074513,0.5014241203872163,6.924972801580608e-4,0
NbFEsP,Rugosity,Polynomial,149.29632485217218,0.5634979866413694,0.15093972743704948,0.7308495447208827
Vol8D,Salinity,Linear,172.36672570646334,0.010183475880553993,0.6810283833773323,9.464475229547986
Vol8D,Salinity,Polynomial,162.90225047691536,0.49327890177314404,0.0012587341776878445,0
Vol8D,Temperature,Linear,171.5557350338655,0.05154354672648315,0.3499366953806906,8.653484556950133
Vol8D,Temperature,Polynomial,173.49490397882556,0.11510514577813569,0.29960591634581235,10.592653501910206
Vol8D,pH,Linear,172.4513810114304,0.00576346696571317,0.757399830106539,9.549130534515058
Vol8D,pH,Polynomial,175.1108832667629,0.036550213636123804,0.48489101266110013,12.208632789847542
Vol8D,Phosphate,Linear,171.73815648128473,0.042393438753069106,0.39773709423857606,8.835906004369377
Vol8D,Phosphate,Polynomial,168.0285779750759,0.33634166551895833,0.017043332337162893,5.126327498160549
Vol8D,Silicate,Linear,170.38744715641582,0.10810622290465098,0.16929837634318573,7.485196679500461
Vol8D,Silicate,Polynomial,173.16081360879346,0.13052887415435913,0.5297393516119044,10.258563131878105
Vol8D,Nitrate+Nitrite,Linear,170.5543259388627,0.10023813368675974,0.18662303071146313,7.652075461947334
Vol8D,Nitrate+Nitrite,Polynomial,170.7734948565704,0.2331917500133077,0.11525123484046759,7.871244379655053
Vol8D,Rugosity,Linear,167.73766891017266,0.22420754574391605,0.040580295870150794,4.835418433257303
Vol8D,Rugosity,Polynomial,169.41530225893808,0.2860928233711944,0.2561394831212923,6.513051782022728
resSpp,Salinity,Linear,139.01899683194213,0.007403926105620498,0.7261482002908526,3.0957284011168724
resSpp,Salinity,Polynomial,141.3013046956913,0.05704675257240316,0.3723573629968624,5.37803626486604
resSpp,Temperature,Linear,139.10126221610994,0.003096908804771186,0.82098452060029,3.1779937852846842
resSpp,Temperature,Polynomial,142.32529943045515,0.00483240259318441,0.8694305805259033,6.402030999629886
resSpp,pH,Linear,139.13316407694143,0.001421657330053482,0.8782028957536885,3.2098956461161663
resSpp,pH,Polynomial,138.42766964038066,0.1894015900868452,0.07202915019943774,2.5044012095553967
resSpp,Phosphate,Linear,139.07616972855234,0.004412607105137972,0.7870130327263432,3.152901297727084
resSpp,Phosphate,Polynomial,136.9780920431079,0.24894476713110072,0.03648483993861461,1.0548236122826324
resSpp,Silicate,Linear,138.3834551690931,0.04005667470557403,0.41134303015359774,2.4601867382678506
resSpp,Silicate,Polynomial,141.4457831814008,0.04984908138112799,0.6900652192120649,5.522514750575539
resSpp,Nitrate+Nitrite,Linear,138.8778257660599,0.01475163985273273,0.620377930000058,2.9545573352346537
resSpp,Nitrate+Nitrite,Polynomial,135.92326843082526,0.2895048206825211,0.024280186771149785,0
resSpp,Rugosity,Linear,138.46037514480713,0.036162543945776914,0.435514283500146,2.5371067139818706
resSpp,Rugosity,Polynomial,136.96438391986322,0.24948644316101726,0.04880148215634301,1.0411154890379635
resFEp,Salinity,Linear,149.4420612512552,5.035215547527918e-4,0.9273485910502957,3.4786636559329907
resFEp,Salinity,Polynomial,149.79282476051262,0.14227434707686787,0.1234340459530542,3.8294271651903955
resFEp,Temperature,Linear,149.07052515024318,0.019858352989726803,0.564995428808962,3.1071275549209645
resFEp,Temperature,Polynomial,151.74893368248155,0.04926307189881806,0.4918809863180478,5.785536087159329
resFEp,pH,Linear,148.7654440054533,0.0354707132049146,0.4400215547344086,2.8020464101310836
resFEp,pH,Polynomial,148.44208865582573,0.20113423924170296,0.087275362777794,2.4786910605035075
resFEp,Phosphate,Linear,148.66135828173958,0.04074014699741647,0.4072974720827338,2.6979606864173604
resFEp,Phosphate,Polynomial,145.96339759532222,0.29884042630771607,0.027411400932014367,0
resFEp,Silicate,Linear,148.56056665615301,0.04581537665449391,0.3789009572854234,2.597169060830794
resFEp,Silicate,Polynomial,150.77763483281296,0.09664428144477558,0.3568220732527102,4.814237237490744
resFEp,Nitrate+Nitrite,Linear,149.39116474763026,0.00317735320833084,0.81871070166466,3.4277671523080357
resFEp,Nitrate+Nitrite,Polynomial,146.26064927106268,0.28778465011133836,0.022349361840165505,0.29725167574045486
resFEp,Rugosity,Linear,148.56547535593052,0.04556882871043208,0.38021738449780873,2.602077760608296
resFEp,Rugosity,Polynomial,149.29632489964268,0.16439774787827086,0.15093972735545483,3.3329273043204637
resVol,Salinity,Linear,167.78063867886513,0.0030447656878031804,0.8224749327732445,4.8407270752897205
resVol,Salinity,Polynomial,166.4190929441796,0.2181858946748103,0.05210831836424866,3.4791813406041854
resVol,Temperature,Linear,167.80658759007395,0.0016822616573520964,0.8675951359856198,4.866675986498535
resVol,Temperature,Polynomial,170.6905437628408,0.02109931082922008,0.5810030673788902,7.750632159265393
resVol,pH,Linear,167.83517279296967,1.7917783123637493e-4,0.9566260345657378,4.895261189394262
resVol,pH,Polynomial,170.0730856436811,0.052400067977996616,0.3616866580698831,7.1331740401057
resVol,Phosphate,Linear,167.22874643366097,0.03158674907230439,0.46665915497662647,4.2888348300855625
resVol,Phosphate,Polynomial,162.9399116035754,0.349004852729976,0.01302532683590961,0
resVol,Silicate,Linear,167.69874371295276,0.007332655713855007,0.7274213800526717,4.758832109377352
resVol,Silicate,Polynomial,170.12595531211483,0.049759591008867184,0.41045583975356315,7.186043708539415
resVol,Nitrate+Nitrite,Linear,167.76673447843655,0.003774070665513939,0.8027124341618888,4.826822874861136
resVol,Nitrate+Nitrite,Polynomial,165.09561822134717,0.2707909665075589,0.027762381356526783,2.155706617771756
resVol,Rugosity,Linear,167.73766890954326,0.005296898918410063,0.7671572734535577,4.797757305967849
resVol,Rugosity,Polynomial,169.41530225524562,0.08464476746743106,0.2561394826601326,6.47539065167021
