CowTagID,Taxa,pcover,Taxon_Group,Morph2,Calc,ER,FE,PC1,PC2,PC3,PC4,Location,AlphaTag,LiveCoral,DeadCoral,Rubble,Sand,lat,lon,meanRugosity,complexity,Salinity,Temperature,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,NbSp,NbSpP,NbFEs,NbFEsP,resSp,resSpp,resFE,resFEp,Community
V4,Turf,10.98901099,Turf,Fil,NC,Auto,"Turf,Fil,NC,Auto",-0.280727927,-0.178305667,0.077428847,0.01722448,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,18,35.29411765,11,50,1.558828993,3.056527438,-0.723922755,-3.290557979,Full Community
V4,Turf,10.98901099,Turf,Fil,NC,Auto,"Turf,Fil,NC,Auto",-0.280727927,-0.178305667,0.077428847,0.01722448,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,5,27.77777778,4,66.66666667,1.318367103,7.324261684,1.222849997,20.38083328,Stony Coral
V4,Turf,10.98901099,Turf,Fil,NC,Auto,"Turf,Fil,NC,Auto",-0.280727927,-0.178305667,0.077428847,0.01722448,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,9,34.61538462,4,33.33333333,-0.825082152,-5.863397872,-1.849571501,3.531491723,Macroalgae
V4,Crustose Corallines,14.28571429,Rhodophyta,Enc,Non-AC,Auto,"Rhodophyta,Enc,Non-AC,Auto",-0.228713802,0.181262259,-0.466964874,-0.056168589,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,18,35.29411765,11,50,1.558828993,3.056527438,-0.723922755,-3.290557979,Full Community
V4,Crustose Corallines,14.28571429,Rhodophyta,Enc,Non-AC,Auto,"Rhodophyta,Enc,Non-AC,Auto",-0.228713802,0.181262259,-0.466964874,-0.056168589,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,5,27.77777778,4,66.66666667,1.318367103,7.324261684,1.222849997,20.38083328,Stony Coral
V4,Crustose Corallines,14.28571429,Rhodophyta,Enc,Non-AC,Auto,"Rhodophyta,Enc,Non-AC,Auto",-0.228713802,0.181262259,-0.466964874,-0.056168589,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,9,34.61538462,4,33.33333333,-0.825082152,-5.863397872,-1.849571501,3.531491723,Macroalgae
V4,Turbinaria ornata,25.27472527,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto",-0.306918107,0.063309071,0.075271858,0.066811846,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,18,35.29411765,11,50,1.558828993,3.056527438,-0.723922755,-3.290557979,Full Community
V4,Turbinaria ornata,25.27472527,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto",-0.306918107,0.063309071,0.075271858,0.066811846,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,5,27.77777778,4,66.66666667,1.318367103,7.324261684,1.222849997,20.38083328,Stony Coral
V4,Turbinaria ornata,25.27472527,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto",-0.306918107,0.063309071,0.075271858,0.066811846,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,9,34.61538462,4,33.33333333,-0.825082152,-5.863397872,-1.849571501,3.531491723,Macroalgae
V4,Galaxaura rugosa,1.098901099,Rhodophyta,Br,AC,Auto,"Rhodophyta,Br,AC,Auto",-0.233556666,0.465670288,-0.017800168,0.179547164,Varari,P,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,0.671592775,0.328407225,0.150184414,2.042221801,0.193556807,6.593406593,65.32051031,48.49701972,18,35.29411765,11,50,1.558828993,3.056527438,-0.723922755,-3.290557979,Full Community
